,CountryName,CountryCode,Date,DRICs,A1,A2,A3,A4,M1,M2,M3,M4,P1
87,Bhutan,BTN,20200531,1.896551724,1,0.666666667,0.5,1,0.5,0.333333333,1,1,1
88,Niger,NER,20200408,1.948024948,1,0,1,0.75,0,0,0.75,1,0.5
89,Trinidad and Tobago,TTO,20200323,1.962025316,1,0.666666667,1,0.75,0,0,0,1,1
90,Bermuda,BMU,20200414,2.06122449,1,1,1,1,1,0.666666667,1,1,1
91,Barbados,BRB,20200404,2.0625,1,1,1,1,0,1,1,0.5,1
92,Sierra Leone,SLE,20200526,2.064189189,1,0,1,0.75,0.5,0.333333333,1,1,1
93,Jordan,JOR,20200327,2.068292683,1,1,1,1,1,1,1,1,0.5
94,Zambia,ZMB,20200513,2.131280389,1,0.666666667,0,0.75,0,0,0,0.5,1
95,Malawi,MWI,20200530,2.163461538,1,0.333333333,1,0.75,0,0.333333333,0,0.75,1
96,Georgia,GEO,20200416,2.202312139,1,1,1,1,1,1,1,1,1
97,Sri Lanka,LKA,20200527,2.20657277,1,0,1,0.75,0.75,0.666666667,0.75,1,1
98,Gambia,GMB,20200501,2.333333333,1,1,1,0.75,0.5,0.333333333,0.5,1,0.5
100,South Sudan,SSD,20200606,2.50487013,1,0.666666667,1,0.875,0.75,0.5,1,1,1
101,China,CHN,20200211,2.569424841,1,0.833333333,0.75,0.875,0.75,0.833333333,0.75,0,1
102,Djibouti,DJI,20200601,2.671334432,0.666666667,0.666666667,0.5,0.75,0,0,0,1,1
103,Ecuador,ECU,20200428,2.708317363,1,1,1,0.75,1,0.666666667,1,1,0.5
104,Nicaragua,NIC,20200525,2.713091922,0,0,0,0,0,0,0,0,0.5
105,Ghana,GHA,20200510,2.717288717,1,0.333333333,1,0.75,0.5,0,0,1,1
106,Timor-Leste,TLS,20200415,3,1,0.666666667,1,1,1,0.333333333,0,1,1
107,Seychelles,SYC,20200316,3.2,0.833333333,0,0.5,0,0,0,0,0.75,1
108,Cambodia,KHM,20200322,3.960784314,1,0.666666667,1,1,0,0,0,0.75,0.5
113,Dominica,DMA,20200326,6,1,0,0,0,0,0,0,0.25,1
